"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"desc","desc","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","1.4.3",NA,"R (>= 3.4)","cli, R6, utils",NA,"callr, covr, gh, spelling, testthat, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"digest","digest","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","0.6.33",NA,"R (>= 3.3.0)","utils",NA,"tinytest, simplermarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"dlstats","dlstats","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","0.1.7",NA,"R (>= 3.3.0)","ggplot2, jsonlite, magrittr, RColorBrewer, scales, utils",NA,"knitr, tidyr, DT, rmarkdown, prettydoc",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.3.0"
"doParallel","doParallel","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","1.0.17",NA,"R (>= 2.14.0), foreach (>= 1.2.0), iterators (>= 1.0.0),
parallel, utils",NA,NA,"caret, mlbench, rpart, RUnit","compiler","GPL-2",NA,NA,NA,NA,"no","4.3.0"
"dplyr","dplyr","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","1.1.2",NA,"R (>= 3.5.0)","cli (>= 3.4.0), generics, glue (>= 1.3.2), lifecycle (>=
1.0.3), magrittr (>= 1.5), methods, pillar (>= 1.9.0), R6,
rlang (>= 1.1.0), tibble (>= 3.2.0), tidyselect (>= 1.2.0),
utils, vctrs (>= 0.6.0)",NA,"bench, broom, callr, covr, DBI, dbplyr (>= 2.2.1), ggplot2,
knitr, Lahman, lobstr, microbenchmark, nycflights13, purrr,
rmarkdown, RMySQL, RPostgreSQL, RSQLite, stringi (>= 1.7.6),
testthat (>= 3.1.5), tidyr (>= 1.3.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"fansi","fansi","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","1.0.4",NA,"R (>= 3.1.0)","grDevices, utils",NA,"unitizer, knitr, rmarkdown",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"farver","farver","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","2.1.1",NA,NA,NA,NA,"covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"fastmap","fastmap","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","1.1.1",NA,NA,NA,NA,"testthat (>= 2.1.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"filelock","filelock","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","1.0.2",NA,NA,NA,NA,"callr (>= 2.0.0), covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"foreach","foreach","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","1.5.2",NA,"R (>= 2.5.0)","codetools, utils, iterators",NA,"randomForest, doMC, doParallel, testthat, knitr, rmarkdown",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.3.0"
"formatR","formatR","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","1.14",NA,"R (>= 3.2.3)",NA,NA,"rstudioapi, shiny, testit, rmarkdown, knitr",NA,"GPL",NA,NA,NA,NA,"no","4.3.0"
"futile.logger","futile.logger","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","1.4.3",NA,"R (>= 3.0.0)","utils, lambda.r (>= 1.1.0), futile.options",NA,"testthat, jsonlite",NA,"LGPL-3",NA,NA,NA,NA,"no","4.3.0"
"futile.options","futile.options","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","1.0.1",NA,"R (>= 2.8.0)",NA,NA,NA,NA,"LGPL-3",NA,NA,NA,NA,"no","4.3.0"
"generics","generics","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","0.1.3",NA,"R (>= 3.2)","methods",NA,"covr, pkgload, testthat (>= 3.0.0), tibble, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"GenomeInfoDb","GenomeInfoDb","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","1.36.1",NA,"R (>= 4.0.0), methods, BiocGenerics (>= 0.37.0), S4Vectors (>=
0.25.12), IRanges (>= 2.13.12)","stats, stats4, utils, RCurl, GenomeInfoDbData",NA,"GenomicRanges, Rsamtools, GenomicAlignments, GenomicFeatures,
TxDb.Dmelanogaster.UCSC.dm3.ensGene, BSgenome,
BSgenome.Scerevisiae.UCSC.sacCer2, BSgenome.Celegans.UCSC.ce2,
BSgenome.Hsapiens.NCBI.GRCh38, RUnit, BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.3.0"
"GenomeInfoDbData","GenomeInfoDbData","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","1.2.10",NA,"R (>= 3.5.0)",NA,NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.3.0"
"GenomicAlignments","GenomicAlignments","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","1.36.0",NA,"R (>= 4.0.0), methods, BiocGenerics (>= 0.37.0), S4Vectors (>=
0.27.12), IRanges (>= 2.23.9), GenomeInfoDb (>= 1.13.1),
GenomicRanges (>= 1.41.5), SummarizedExperiment (>= 1.9.13),
Biostrings (>= 2.55.7), Rsamtools (>= 1.31.2)","methods, utils, stats, BiocGenerics, S4Vectors, IRanges,
GenomicRanges, Biostrings, Rsamtools, BiocParallel","S4Vectors, IRanges","ShortRead, rtracklayer, BSgenome, GenomicFeatures,
RNAseqData.HNRNPC.bam.chr14, pasillaBamSubset,
TxDb.Hsapiens.UCSC.hg19.knownGene,
TxDb.Dmelanogaster.UCSC.dm3.ensGene,
BSgenome.Dmelanogaster.UCSC.dm3, BSgenome.Hsapiens.UCSC.hg19,
DESeq2, edgeR, RUnit, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.3.0"
"GenomicFeatures","GenomicFeatures","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","1.52.1",NA,"R (>= 3.5.0), BiocGenerics (>= 0.1.0), S4Vectors (>= 0.17.29),
IRanges (>= 2.13.23), GenomeInfoDb (>= 1.35.8), GenomicRanges
(>= 1.31.17), AnnotationDbi (>= 1.41.4)","methods, utils, stats, tools, DBI, RSQLite (>= 2.0), RCurl,
XVector (>= 0.19.7), Biostrings (>= 2.47.6), BiocIO,
rtracklayer (>= 1.51.5), biomaRt (>= 2.17.1), Biobase (>=
2.15.1)",NA,"RMariaDB, org.Mm.eg.db, org.Hs.eg.db, BSgenome,
BSgenome.Hsapiens.UCSC.hg19 (>= 1.3.17),
BSgenome.Celegans.UCSC.ce11, BSgenome.Dmelanogaster.UCSC.dm3
(>= 1.3.17), mirbase.db, FDb.UCSC.tRNAs,
TxDb.Hsapiens.UCSC.hg19.knownGene,
TxDb.Celegans.UCSC.ce11.ensGene,
TxDb.Dmelanogaster.UCSC.dm3.ensGene (>= 2.7.1),
TxDb.Mmusculus.UCSC.mm10.knownGene (>= 3.4.7),
TxDb.Hsapiens.UCSC.hg19.lincRNAsTranscripts,
TxDb.Hsapiens.UCSC.hg38.knownGene (>= 3.4.6),
SNPlocs.Hsapiens.dbSNP144.GRCh38, Rsamtools, pasillaBamSubset
(>= 0.0.5), GenomicAlignments (>= 1.15.7), ensembldb,
AnnotationFilter, RUnit, BiocStyle, knitr, markdown",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.3.0"
"GenomicRanges","GenomicRanges","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","1.52.0",NA,"R (>= 4.0.0), methods, stats4, BiocGenerics (>= 0.37.0),
S4Vectors (>= 0.27.12), IRanges (>= 2.31.2), GenomeInfoDb (>=
1.15.2)","utils, stats, XVector (>= 0.29.2)","S4Vectors, IRanges","Matrix, Biobase, AnnotationDbi, annotate, Biostrings (>=
2.25.3), SummarizedExperiment (>= 0.1.5), Rsamtools (>=
1.13.53), GenomicAlignments, rtracklayer, BSgenome,
GenomicFeatures, Gviz, VariantAnnotation, AnnotationHub,
DESeq2, DEXSeq, edgeR, KEGGgraph, RNAseqData.HNRNPC.bam.chr14,
pasillaBamSubset, KEGGREST, hgu95av2.db, hgu95av2probe,
BSgenome.Scerevisiae.UCSC.sacCer2, BSgenome.Hsapiens.UCSC.hg19,
BSgenome.Mmusculus.UCSC.mm10,
TxDb.Athaliana.BioMart.plantsmart22,
TxDb.Dmelanogaster.UCSC.dm3.ensGene,
TxDb.Hsapiens.UCSC.hg19.knownGene,
TxDb.Mmusculus.UCSC.mm10.knownGene, RUnit, digest, knitr,
rmarkdown, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.3.0"
"gert","gert","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","2.2.0",NA,NA,"askpass, credentials (>= 1.2.1), openssl (>= 2.0.3),
rstudioapi (>= 0.11), sys, zip (>= 2.1.0)",NA,"spelling, knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"ggalluvial","ggalluvial","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","0.12.5",NA,"R (>= 3.6), ggplot2 (>= 2.2)","stats, dplyr (>= 0.7), tidyr (>= 0.7), lazyeval, rlang,
tidyselect",NA,"grid, alluvial, testthat, knitr, rmarkdown, babynames,
sessioninfo, ggrepel, shiny (>= 1.4.0.2), htmltools, sp (>=
1.4-0), ggfittext (>= 0.6), vdiffr (>= 0.2)",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.0"
"ggdendro","ggdendro","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","0.1.23",NA,NA,"MASS, ggplot2(>= 0.9.2)",NA,"rpart (>= 4.0-0), tree, testthat, knitr, cluster, scales,
spelling, rmarkdown, covr",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.3.0"
"ggplot2","ggplot2","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","3.4.2",NA,"R (>= 3.3)","cli, glue, grDevices, grid, gtable (>= 0.1.1), isoband,
lifecycle (> 1.0.1), MASS, mgcv, rlang (>= 1.1.0), scales (>=
1.2.0), stats, tibble, vctrs (>= 0.5.0), withr (>= 2.5.0)",NA,"covr, dplyr, ggplot2movies, hexbin, Hmisc, knitr, lattice,
mapproj, maps, maptools, multcomp, munsell, nlme, profvis,
quantreg, ragg, RColorBrewer, rgeos, rmarkdown, rpart, sf (>=
0.7-3), svglite (>= 1.2.0.9001), testthat (>= 3.1.2), vdiffr
(>= 1.0.0), xml2","sp","MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"gh","gh","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","1.5.0",NA,"R (>= 4.1)","cli (>= 3.0.1), gitcreds, glue, httr2 (>= 1.0.6), ini,
jsonlite, lifecycle, rlang (>= 1.0.0)",NA,"connectcreds, covr, knitr, rmarkdown, rprojroot, spelling,
testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"gitcreds","gitcreds","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","0.1.2",NA,"R (>= 3.4)",NA,NA,"codetools, covr, knitr, mockery, oskeyring, rmarkdown,
testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"glue","glue","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","1.6.2",NA,"R (>= 3.4)","methods",NA,"covr, crayon, DBI, dplyr, forcats, ggplot2, knitr, magrittr,
microbenchmark, R.utils, rmarkdown, rprintf, RSQLite, stringr,
testthat (>= 3.0.0), vctrs (>= 0.3.0), waldo (>= 0.3.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"graphics","graphics","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","4.3.0","base",NA,"grDevices",NA,NA,NA,"Part of R 4.3.0",NA,NA,NA,NA,"yes","4.3.0"
"grDevices","grDevices","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","4.3.0","base",NA,NA,NA,"KernSmooth",NA,"Part of R 4.3.0",NA,NA,NA,NA,"yes","4.3.0"
"grid","grid","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","4.3.0","base",NA,"grDevices, utils",NA,NA,NA,"Part of R 4.3.0",NA,NA,NA,NA,"yes","4.3.0"
"gridBase","gridBase","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","0.4-7",NA,"R (>= 2.3.0)","graphics, grid",NA,"lattice",NA,"GPL",NA,NA,NA,NA,"no","4.3.0"
"gridExtra","gridExtra","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","2.3",NA,NA,"gtable, grid, grDevices, graphics, utils",NA,"ggplot2, egg, lattice, knitr, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"gtable","gtable","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","0.3.3",NA,"R (>= 3.5)","cli, glue, grid, lifecycle, rlang (>= 1.1.0)",NA,"covr, ggplot2, knitr, profvis, rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"here","here","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","1.0.2",NA,NA,"rprojroot (>= 2.1.0)",NA,"conflicted, covr, fs, knitr, palmerpenguins, plyr, readr,
rlang, rmarkdown, testthat, uuid, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"hms","hms","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","1.1.3",NA,NA,"lifecycle, methods, pkgconfig, rlang (>= 1.0.2), vctrs (>=
0.3.8)",NA,"crayon, lubridate, pillar (>= 1.1.0), testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"httr","httr","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","1.4.6",NA,"R (>= 3.5)","curl (>= 3.0.0), jsonlite, mime, openssl (>= 0.8), R6",NA,"covr, httpuv, jpeg, knitr, png, readr, rmarkdown, testthat
(>= 0.8.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"httr2","httr2","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","1.2.1",NA,"R (>= 4.1)","cli (>= 3.0.0), curl (>= 6.4.0), glue, lifecycle, magrittr,
openssl, R6, rappdirs, rlang (>= 1.1.0), vctrs (>= 0.6.3),
withr",NA,"askpass, bench, clipr, covr, docopt, httpuv, jose, jsonlite,
knitr, later (>= 1.4.0), nanonext, paws.common, promises,
rmarkdown, testthat (>= 3.1.8), tibble, webfakes (>= 1.4.0),
xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"ini","ini","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","0.3.1",NA,NA,NA,NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.0"
"IRanges","IRanges","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","2.34.1",NA,"R (>= 4.0.0), methods, utils, stats, BiocGenerics (>= 0.39.2),
S4Vectors (>= 0.33.3)","stats4","S4Vectors","XVector, GenomicRanges, Rsamtools, GenomicAlignments,
GenomicFeatures, BSgenome.Celegans.UCSC.ce2, pasillaBamSubset,
RUnit, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.3.0"
"isoband","isoband","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","0.2.7",NA,NA,"grid, utils",NA,"covr, ggplot2, knitr, magick, microbenchmark, rmarkdown, sf,
testthat, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"iterators","iterators","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","1.0.14",NA,"R (>= 2.5.0), utils",NA,NA,"RUnit, foreach",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.3.0"
"jsonlite","jsonlite","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","1.8.7",NA,"methods",NA,NA,"httr, vctrs, testthat, knitr, rmarkdown, R.rsp, sf",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"KEGGREST","KEGGREST","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","1.40.0",NA,"R (>= 3.5.0)","methods, httr, png, Biostrings",NA,"RUnit, BiocGenerics, knitr, markdown",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.3.0"
"labeling","labeling","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","0.4.2",NA,NA,"stats, graphics",NA,NA,NA,"MIT + file LICENSE | Unlimited",NA,NA,NA,NA,"no","4.3.0"
"lambda.r","lambda.r","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","1.2.4",NA,"R (>= 3.0.0)","formatR",NA,"testit",NA,"LGPL-3",NA,NA,NA,NA,"no","4.3.0"
"lattice","lattice","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","0.21-8","recommended","R (>= 4.0.0)","grid, grDevices, graphics, stats, utils",NA,"KernSmooth, MASS, latticeExtra, colorspace","chron","GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"lazyeval","lazyeval","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","0.2.2",NA,"R (>= 3.1.0)",NA,NA,"knitr, rmarkdown (>= 0.2.65), testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"lifecycle","lifecycle","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","1.0.3",NA,"R (>= 3.4)","cli (>= 3.4.0), glue, rlang (>= 1.0.6)",NA,"covr, crayon, knitr, lintr, rmarkdown, testthat (>= 3.0.1),
tibble, tidyverse, tools, vctrs, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"magrittr","magrittr","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","2.0.3",NA,"R (>= 3.4.0)",NA,NA,"covr, knitr, rlang, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"MASS","MASS","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","7.3-60","recommended","R (>= 4.0), grDevices, graphics, stats, utils","methods",NA,"lattice, nlme, nnet, survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"Matrix","Matrix","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","1.6-0","recommended","R (>= 3.5.0), methods","grDevices, graphics, grid, lattice, stats, utils",NA,"MASS, datasets, sfsmisc","SparseM, graph","GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","4.3.0"
"MatrixGenerics","MatrixGenerics","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","1.12.2",NA,"matrixStats (>= 1.0.0)","methods",NA,"Matrix, sparseMatrixStats, SparseArray, DelayedArray,
DelayedMatrixStats, SummarizedExperiment, testthat (>= 2.1.0)",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.3.0"
"matrixStats","matrixStats","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","1.0.0",NA,"R (>= 2.12.0)",NA,NA,"base64enc, ggplot2, knitr, markdown, microbenchmark,
R.devices, R.rsp",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.3.0"
"memoise","memoise","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","2.0.1",NA,NA,"rlang (>= 0.4.10), cachem",NA,"digest, aws.s3, covr, googleAuthR, googleCloudStorageR, httr,
testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"methods","methods","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","4.3.0","base",NA,"utils, stats",NA,"codetools",NA,"Part of R 4.3.0",NA,NA,NA,NA,"yes","4.3.0"
"mgcv","mgcv","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","1.9-0","recommended","R (>= 3.6.0), nlme (>= 3.1-64)","methods, stats, graphics, Matrix, splines, utils",NA,"parallel, survival, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"mime","mime","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","0.12",NA,NA,"tools",NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","4.3.0"
"munsell","munsell","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","0.5.0",NA,NA,"colorspace, methods",NA,"ggplot2, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"MutationalPatterns","MutationalPatterns","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","3.10.0",NA,"R (>= 4.2.0), GenomicRanges (>= 1.24.0), NMF (>= 0.20.6)","stats, S4Vectors, BiocGenerics (>= 0.18.0), BSgenome (>=
1.40.0), VariantAnnotation (>= 1.18.1), dplyr (>= 0.8.3),
tibble(>= 2.1.3), purrr (>= 0.3.2), tidyr (>= 1.0.0), stringr
(>= 1.4.0), magrittr (>= 1.5), ggplot2 (>= 2.1.0), pracma (>=
1.8.8), IRanges (>= 2.6.0), GenomeInfoDb (>= 1.12.0),
Biostrings (>= 2.40.0), ggdendro (>= 0.1-20), cowplot (>=
0.9.2), ggalluvial (>= 0.12.2), RColorBrewer, methods",NA,"BSgenome.Hsapiens.UCSC.hg19 (>= 1.4.0), BiocStyle (>= 2.0.3),
TxDb.Hsapiens.UCSC.hg19.knownGene (>= 3.2.2), biomaRt (>=
2.28.0), gridExtra (>= 2.2.1), rtracklayer (>= 1.32.2), ccfindR
(>= 1.6.0), GenomicFeatures, AnnotationDbi, testthat, knitr,
rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"nlme","nlme","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","3.1-162","recommended","R (>= 3.5.0)","graphics, stats, utils, lattice",NA,"Hmisc, MASS, SASmixed",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"NMF","NMF","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","0.26",NA,"R (>= 3.0.0), methods, utils, registry, rngtools (>= 1.2.3),
cluster","graphics, stats, stringr (>= 1.0.0), digest, grid, grDevices,
gridBase, colorspace, RColorBrewer, foreach, doParallel,
ggplot2, reshape2, Biobase, codetools, BiocManager",NA,"fastICA, doMPI, bigmemory (>= 4.2), synchronicity(>= 1.3.2),
corpcor, xtable, devtools, knitr, RUnit, mail",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"openssl","openssl","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","2.0.6",NA,NA,"askpass",NA,"curl, testthat (>= 2.1.0), digest, knitr, rmarkdown,
jsonlite, jose, sodium",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"parallel","parallel","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","4.3.0","base",NA,"tools, compiler",NA,"methods","snow, Rmpi","Part of R 4.3.0",NA,NA,NA,NA,"yes","4.3.0"
"pillar","pillar","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","1.9.0",NA,NA,"cli (>= 2.3.0), fansi, glue, lifecycle, rlang (>= 1.0.2), utf8
(>= 1.1.0), utils, vctrs (>= 0.5.0)",NA,"bit64, DBI, debugme, DiagrammeR, dplyr, formattable, ggplot2,
knitr, lubridate, nanotime, nycflights13, palmerpenguins,
rmarkdown, scales, stringi, survival, testthat (>= 3.1.1),
tibble, units (>= 0.7.2), vdiffr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"pkgconfig","pkgconfig","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","2.0.3",NA,NA,"utils",NA,"covr, testthat, disposables (>= 1.0.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"plogr","plogr","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","0.2.0",NA,NA,NA,NA,"Rcpp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"plyr","plyr","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","1.8.8",NA,"R (>= 3.1.0)","Rcpp (>= 0.11.0)","Rcpp","abind, covr, doParallel, foreach, iterators, itertools,
tcltk, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"png","png","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","0.1-8",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"pracma","pracma","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","2.4.2",NA,"R (>= 3.1.0)","graphics, grDevices, stats, utils",NA,"NlcOptim, quadprog",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.0"
"prettyunits","prettyunits","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","1.1.1",NA,NA,NA,NA,"codetools, covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"progress","progress","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","1.2.2",NA,NA,"hms, prettyunits, R6, crayon",NA,"Rcpp, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"purrr","purrr","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","1.0.1",NA,"R (>= 3.4.0)","cli (>= 3.4.0), lifecycle (>= 1.0.3), magrittr (>= 1.5.0),
rlang (>= 0.4.10), vctrs (>= 0.5.0)","cli","covr, dplyr (>= 0.7.8), httr, knitr, lubridate, rmarkdown,
testthat (>= 3.0.0), tibble, tidyselect",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"R6","R6","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","2.5.1",NA,"R (>= 3.0)",NA,NA,"testthat, pryr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"rappdirs","rappdirs","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","0.3.3",NA,"R (>= 3.2)",NA,NA,"roxygen2, testthat (>= 3.0.0), covr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"RColorBrewer","RColorBrewer","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","1.1-3",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"Apache License 2.0",NA,NA,NA,NA,"no","4.3.0"
